2025-08-21 10:15:24 status half-configured linux-modules-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 status installed linux-modules-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 configure linux-image-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:24 status unpacked linux-image-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 status half-configured linux-image-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 status installed linux-image-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 configure linux-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:24 status unpacked linux-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 status half-configured linux-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 status installed linux-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-08-21 10:15:24 status half-configured man-db:amd64 2.12.0-4build2
2025-08-21 10:15:25 status installed man-db:amd64 2.12.0-4build2
2025-08-21 10:15:25 trigproc initramfs-tools:all 0.142ubuntu25.5 <none>
2025-08-21 10:15:25 status half-configured initramfs-tools:all 0.142ubuntu25.5
2025-08-21 10:15:25 status installed initramfs-tools:all 0.142ubuntu25.5
2025-08-21 10:15:25 trigproc linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:25 status half-configured linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:31 status installed linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:35 startup packages remove
2025-08-21 10:15:35 status installed libc-devtools:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:35 remove libc-devtools:amd64 2.39-0ubuntu8.5 <none>
2025-08-21 10:15:35 status half-configured libc-devtools:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:35 status half-installed libc-devtools:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:35 status triggers-pending man-db:amd64 2.12.0-4build2
